Order ID,Order Date,Ship Date,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2023-152156,2023-01-08,2023-01-11,Claire Gute,Consumer,United States,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
CA-2023-152156,2023-01-08,2023-01-11,Claire Gute,Consumer,United States,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,731.94,3,0,219.582
CA-2023-138688,2023-01-12,2023-01-16,Darrin Van Huff,Corporate,United States,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters,14.62,2,0,6.8714
US-2023-108966,2023-01-11,2023-01-18,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
US-2023-108966,2023-01-11,2023-01-18,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
CA-2023-115812,2023-01-06,2023-01-10,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,Eldon Expressions Wood and Plastic Desk Accessories,48.86,7,0,14.1694
CA-2023-115812,2023-01-06,2023-01-10,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.9656
CA-2023-115812,2023-01-06,2023-01-10,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,TEC-PH-10002033,Technology,Phones,Moto E (2nd Gen),907.152,6,0.2,90.7152
CA-2023-115812,2023-01-06,2023-01-10,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,OFF-BI-10003910,Office Supplies,Binders,Avery Dennison 472,18.504,3,0.2,5.7825
CA-2023-115812,2023-01-06,2023-01-10,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet,114.9,5,0,34.47
CA-2023-115812,2023-01-06,2023-01-10,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
CA-2023-115812,2023-01-06,2023-01-10,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,TEC-PH-10001530,Technology,Phones,Konftel 250 Conference phone,911.424,4,0.2,68.3568
CA-2023-138851,2023-01-16,2023-01-21,Andrew Allen,Consumer,United States,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
CA-2023-120999,2023-01-17,2023-01-20,Irene Maddox,Consumer,United States,Seattle,Washington,West,OFF-BI-10000756,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.592
US-2023-108639,2023-01-23,2023-01-25,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,OFF-AP-10002311,Office Supplies,Appliances,Holmes HEPA Air Purifier,68.81,5,0.8,-123.858
US-2023-108639,2023-01-23,2023-01-25,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,OFF-BI-10003656,Office Supplies,Binders,Storex DuraTech Waste-Free Binders,2.544,3,0.8,-3.816
CA-2023-140151,2023-01-27,2023-02-01,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,Stur-D-Stor Shelving,665.88,6,0.1,13.3176
CA-2023-143567,2023-02-03,2023-02-07,Alejandro Grove,Consumer,United States,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
CA-2023-143567,2023-02-03,2023-02-07,Alejandro Grove,Consumer,United States,West Jordan,Utah,West,OFF-ST-10000107,Office Supplies,Storage,Advantus Map Pins,8.56,2,0,2.4824
CA-2023-135545,2023-02-10,2023-02-12,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,Fiskars 8" Straight Scissors,8.56,2,0,2.4824
CA-2023-135545,2023-02-10,2023-02-12,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,TEC-PH-10003645,Technology,Phones,Plantronics CS510 - Wireless Headset,2249.9,7,0,89.9960
CA-2023-135545,2023-02-10,2023-02-12,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,OFF-BI-10001460,Office Supplies,Binders,Storex Dura Pro Binders,3.928,2,0.2,0.9016
CA-2023-135545,2023-02-10,2023-02-12,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,OFF-BI-10003656,Office Supplies,Binders,Crystal Clear Mailing Labels,3.072,4,0.2,-0.972
CA-2023-157435,2023-02-14,2023-02-18,Ken Black,Consumer,United States,Baltimore,Maryland,East,OFF-BI-10004654,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,1009.9,3,0.7,-1107.166
CA-2023-157435,2023-02-14,2023-02-18,Ken Black,Consumer,United States,Baltimore,Maryland,East,TEC-AC-10003027,Technology,Accessories,Logitech G600 MMO Gaming Mouse,90.9,3,0.7,-140.895
